sys_user				系统用户

sys_user_organization	用户组织关联表
sys_organization		组织信息
sys_organization_role	组织角色表

sys_user_identity		用户身份关联表
sys_identity			身份
sys_identity_role		身份角色关联表


sys_user_group		用户与用户组关联表
sys_group				用户组
sys_group_role			用户组角色关联表

sys_role				角色表

sys_jurisdiction		系统权限表
sys_role_jurisdiction		角色权限关联表
sys_jurisdiction_repel	权限互斥

sys_action			系统编码功能对照表
sys_data_dictionary		系统数据字典表

sys_log_optration		操作日志表
sys_log_setting		系统日志设置表
sys_settiong_detail		日志设置明细表

user_resident			住户信息表
cpm_building			楼宇管理
cpm_building_unit		楼宇单元管理
cpm_building_unit_estate 楼宇单元房产信息
cpm_parking_space		车位信息
cpm_resident_estate	住户房产关联表 *
user_resident_relatives	业主亲属关联表 *

user_car				车辆表

user_article_out		物品出门表
resources_img			图片资源表
sys_convenience_phone	便民电话
user_access_card		用户门禁卡管理

user_decoration					业主装修信息表【目前app没做，使用新版装修】
user_decoration_access_card			装修门禁卡
user_decoration_personnel			装修人员表
user_decoration_track_inspection_cycle	装修跟踪检查周期表
user_decoration_track_record			装修跟踪记录
user_decoration_track_record_detail	装修跟踪记录明细表
user_decoration_checks_content		装修检查内容表(标准表)
user_decoration_track_checks_content	装修跟踪检查内容表（关联表）
user_decoration_doc				装修须知doc文件

sys_deposit_management				押金管理
sys_deposit_management_refund_order		押金退款单
sys_deposit_management_additional_cost 	押金附加费用表

user_decoration_new				新版装修
user_decoration_check_new			新版装修检查记录

sys_prohibited_keywords				违禁关键字
sys_advice						咨询建议/投诉表扬
sys_advice_detail					建议反馈表
sys_automatic_answer				默认回答 （暂时不做）
sys_automatic_answer_detail			问题汇总（暂时不做）

user_visitors						访客管理【目前使用新版访客管理】
user_visitors_detail					访客出入明细
user_visitors_new					新版访客管理
user_visitors_new_url				新版访客管理分享编号管理

sys_questionnaire					问卷调查表
sys_questionnaire_topic				题目
sys_questionnaire_multiple_choice		选择题选项
sys_questionnaire_judgment_answer	判断题答案
sys_questionnaire_short_answer		简答题答案
sys_questionnaire_single_multiple_choice_answer	选择题答案
sys_questionnaire_personnel			答卷人

sys_vote							投票管理
sys_vote_candidate					投票候选人
sys_vote_personnel					投票人
sys_vote_expected_time				即将开始预期间隔时间

sys_gambit						话题管理
sys_gambit_theme					主题管理
sys_gambit_theme_like				点赞记录表
sys_gambit_theme_comment			主题评论信息

